Word,Count
cheryl,5981
huma,5735
abedin,5195
clintonemail,4997
b6,4951
sullivan,4027
fw,3847
obama,3610
clinton,3478
jacob,3459
hdr22,3022
abedinh,2786
american,2410
benghazi,2394
millscd,2383
http,2284
monday,2173
friday,2157
haiti,2154
thursday,2081
sunday,2068
tuesday,1993
wednesday,1961
hrod17,1950
september,1932
washington,1831
israel,1827
www,1739
b5,1732
saturday,1715
foia,1702
fyi,1600
october,1491
david,1473
june,1469
december,1446
november,1435
al,1432
january,1425
mr,1417
hillary,1385
sullivanjj,1340
afghanistan,1324
aug,1320
iran,1303
pakistan,1285
libya,1256
april,1226
mailto,1148
sid,1111
fri,1098
july,1095
thu,1090
lauren,1081
america,1077
israeli,1076
ve,1065
hrc,1007
richard,1004
dec,1002
jiloty,974
tue,972
february,946
sep,939
lona,936
ok,905
mon,899
jake,891
uk,873
libyan,866
americans,833
jan,818
africa,818
jilotylc,818
un,814
valmoro,779
iraq,770
ses,758
oct,727
gordon,722
sbwhoeop,715
dc,697
york,696
feb,687
anne,687
marie,679
nov,672
palestinian,669
blair,659
valmorou,640
jim,636
netanyahu,636
thx,629
ap,623
europe,623
cdm,611
reuters,602
michael,600
verma,594
